[2026-06-22T18:13:28.860Z] INFO  [Installer] Status: enabled=true, claude=true, git=true, geminiHook=true, worktreeHooks=true, sessions=275, summaries=0, codex=true/true, gemini=true/true, enabledWorktrees=1, opencode=true/true, cursor=true/true, copilot=false/true, copilotChat=true
[2026-06-22T18:14:18.860Z] INFO  [SessionStartHook] SessionStartHook invoked (cwd=/home/menes/Projects/VideoTuna)
[2026-06-22T18:14:18.862Z] INFO  [SessionStartHook] No briefing generated (skipped or timed out)
[2026-06-22T18:14:20.178Z] INFO  [UpdateCheck] Spawned detached update-check refresh (PID: 530685)
[2026-06-22T18:14:20.179Z] INFO  [StorageFactory] StorageFactory.create: storageMode=dual-write, projectPath=/home/menes/Projects/VideoTuna
[2026-06-22T18:14:20.182Z] INFO  [StorageFactory] Storage mode: dual-write (primary=orphan, shadow=folder)
[2026-06-22T18:14:20.185Z] INFO  [McpServer] MCP server connected over stdio (cwd=/home/menes/Projects/VideoTuna)
[2026-06-22T18:14:33.304Z] INFO  [SessionStartHook] SessionStartHook invoked (cwd=/home/menes/Projects/VideoTuna)
[2026-06-22T18:14:33.306Z] INFO  [SessionStartHook] No briefing generated (skipped or timed out)
[2026-06-22T18:15:23.750Z] INFO  [deactivate] Jolli Memory extension deactivating
[2026-06-22T18:15:25.927Z] INFO  [activate] Activating JolliMemory extension {"workspaceRoot":"/home/menes/Projects/VideoTuna","extensionPath":"/home/menes/.cursor/extensions/jolli.jollimemory-vscode-0.99.3-universal"}
[2026-06-22T18:15:25.949Z] INFO  [initialLoad] Loading all panels
[2026-06-22T18:15:26.199Z] INFO  [StorageFactory] StorageFactory.create: storageMode=dual-write, projectPath=/home/menes/Projects/VideoTuna
[2026-06-22T18:15:26.208Z] INFO  [StorageFactory] Storage mode: dual-write (primary=orphan, shadow=folder)
[2026-06-22T18:15:26.208Z] INFO  [Installer] Checking Jolli Memory status
[2026-06-22T18:15:26.211Z] INFO  [Installer] Checking Jolli Memory status
[2026-06-22T18:15:26.235Z] INFO  [plans] detectPlans found 0 plans (0 in registry)
[2026-06-22T18:15:26.235Z] INFO  [notes] detectNotes found 0 notes (0 in registry)
[2026-06-22T18:15:26.235Z] INFO  [references] detectReferences(*) found 0 (0 in registry)
[2026-06-22T18:15:26.238Z] WARN  [SummaryStore] loadIndex: index.json unreadable from Pf (fresh repo or backend read failed)
[2026-06-22T18:15:26.373Z] INFO  [StorageFactory] StorageFactory.create: storageMode=dual-write, projectPath=/home/menes/Projects/VideoTuna
[2026-06-22T18:15:26.383Z] INFO  [StorageFactory] Storage mode: dual-write (primary=orphan, shadow=folder)
[2026-06-22T18:15:26.429Z] INFO  [bridge] Merged mode activated {"branch":"main","creationPoint":"acf95b61","author":"Miguel Enes"}
[2026-06-22T18:15:26.454Z] INFO  [StorageFactory] StorageFactory.create: storageMode=dual-write, projectPath=/home/menes/Projects/VideoTuna
[2026-06-22T18:15:26.472Z] INFO  [StorageFactory] Storage mode: dual-write (primary=orphan, shadow=folder)
[2026-06-22T18:15:26.494Z] WARN  [ReadStorageResolver] createReadStorage: folder lacks index.json — falling back to orphan branch (migration incomplete, or folder wiped)
[2026-06-22T18:15:26.503Z] INFO  [SchemaV5Migration] Storage backend not initialized yet — skipping schema v5 migration (no data to migrate)
[2026-06-22T18:15:26.503Z] INFO  [activate] Schema v5 migration: alreadyDone=false fresh=true migrated=0 skipped=0
[2026-06-22T18:15:26.511Z] WARN  [SummaryStore] loadIndex: index.json unreadable from Wr (fresh repo or backend read failed)
[2026-06-22T18:15:27.410Z] WARN  [SummaryStore] loadIndex: index.json unreadable from Wr (fresh repo or backend read failed)
[2026-06-22T18:15:28.090Z] INFO  [Installer] Status: enabled=true, claude=true, git=true, geminiHook=true, worktreeHooks=true, sessions=275, summaries=0, codex=true/true, gemini=true/true, enabledWorktrees=1, opencode=true/true, cursor=true/true, copilot=false/true, copilotChat=true
[2026-06-22T18:15:28.090Z] INFO  [Installer] Status: enabled=true, claude=true, git=true, geminiHook=true, worktreeHooks=true, sessions=275, summaries=0, codex=true/true, gemini=true/true, enabledWorktrees=1, opencode=true/true, cursor=true/true, copilot=false/true, copilotChat=true
[2026-06-22T18:15:28.090Z] INFO  [initialLoad] All panels loaded — updating status bar
[2026-06-22T18:15:28.090Z] INFO  [Installer] Checking Jolli Memory status
[2026-06-22T18:15:28.090Z] INFO  [Installer] Checking Jolli Memory status
[2026-06-22T18:15:29.230Z] INFO  [Installer] Status: enabled=true, claude=true, git=true, geminiHook=true, worktreeHooks=true, sessions=275, summaries=0, codex=true/true, gemini=true/true, enabledWorktrees=1, opencode=true/true, cursor=true/true, copilot=false/true, copilotChat=true
[2026-06-22T18:15:29.230Z] INFO  [Installer] Status: enabled=true, claude=true, git=true, geminiHook=true, worktreeHooks=true, sessions=275, summaries=0, codex=true/true, gemini=true/true, enabledWorktrees=1, opencode=true/true, cursor=true/true, copilot=false/true, copilotChat=true
[2026-06-22T18:15:29.230Z] INFO  [Installer] Checking Jolli Memory status
[2026-06-22T18:15:29.676Z] INFO  [Installer] Status: enabled=true, claude=true, git=true, geminiHook=true, worktreeHooks=true, sessions=275, summaries=0, codex=true/true, gemini=true/true, enabledWorktrees=1, opencode=true/true, cursor=true/true, copilot=false/true, copilotChat=true
[2026-06-22T18:16:50.953Z] INFO  [notes] detectNotes found 0 notes (0 in registry)
[2026-06-22T18:16:51.706Z] INFO  [StopHook] Stop hook triggered (session=16414dcc-c585-4bdf-8b6f-2b79a0ccefe6)
[2026-06-22T18:16:51.706Z] INFO  [StopHook] Hook input — session_id=16414dcc-c585-4bdf-8b6f-2b79a0ccefe6, transcript_path=/home/menes/.cursor/projects/home-menes-Projects-VideoTuna/agent-transcripts/16414dcc-c585-4bdf-8b6f-2b79a0ccefe6/16414dcc-c585-4bdf-8b6f-2b79a0ccefe6.jsonl
[2026-06-22T18:16:51.707Z] INFO  [StopHook] Session saved successfully
[2026-06-22T18:16:51.839Z] INFO  [Installer] Checking Jolli Memory status
[2026-06-22T18:16:51.840Z] INFO  [plans] detectPlans found 0 plans (0 in registry)
[2026-06-22T18:16:51.840Z] INFO  [notes] detectNotes found 0 notes (0 in registry)
[2026-06-22T18:16:51.840Z] INFO  [references] detectReferences(*) found 0 (0 in registry)
[2026-06-22T18:16:52.095Z] INFO  [Installer] Status: enabled=true, claude=true, git=true, geminiHook=true, worktreeHooks=true, sessions=275, summaries=0, codex=true/true, gemini=true/true, enabledWorktrees=1, opencode=true/true, cursor=true/true, copilot=false/true, copilotChat=true
[2026-06-22T18:17:48.031Z] INFO  [SidebarWebviewProvider] pushMemories: 0 item(s)
[2026-06-22T18:17:48.061Z] WARN  [SummaryStore] loadIndex: index.json unreadable from Wr (fresh repo or backend read failed)
[2026-06-22T18:17:48.062Z] INFO  [SidebarWebviewProvider] pushCommits: 6 item(s), mode=merged
[2026-06-22T18:17:48.069Z] INFO  [SidebarWebviewProvider] pushMemories: 0 item(s)
[2026-06-22T18:17:48.302Z] INFO  [CursorTranscriptReader] Read Cursor session 5342bd92: 15 new bubbles, 2 entries extracted (index 0→15)
[2026-06-22T18:17:48.304Z] INFO  [CursorTranscriptReader] Read Cursor session 5abddf2c: 49 new bubbles, 4 entries extracted (index 0→49)
[2026-06-22T18:17:48.305Z] INFO  [CursorTranscriptReader] Read Cursor session ddfe7fe9: 38 new bubbles, 2 entries extracted (index 0→38)
[2026-06-22T18:17:48.307Z] INFO  [CursorTranscriptReader] Read Cursor session 82c7b7ce: 88 new bubbles, 6 entries extracted (index 0→88)
[2026-06-22T18:17:48.308Z] INFO  [CursorTranscriptReader] Read Cursor session 6673a3c3: 58 new bubbles, 6 entries extracted (index 0→58)
[2026-06-22T18:17:48.309Z] INFO  [CursorTranscriptReader] Read Cursor session 70d66919: 40 new bubbles, 4 entries extracted (index 0→40)
[2026-06-22T18:17:48.310Z] INFO  [CursorTranscriptReader] Read Cursor session 0ce9d3df: 47 new bubbles, 4 entries extracted (index 0→47)
[2026-06-22T18:17:48.313Z] INFO  [CursorTranscriptReader] Read Cursor session a2ae42e0: 160 new bubbles, 14 entries extracted (index 0→160)
[2026-06-22T18:17:48.314Z] INFO  [CursorTranscriptReader] Read Cursor session 2ade063f: 33 new bubbles, 4 entries extracted (index 0→33)
[2026-06-22T18:17:48.318Z] INFO  [CursorTranscriptReader] Read Cursor session 0e550a3c: 145 new bubbles, 6 entries extracted (index 0→145)
[2026-06-22T18:17:48.318Z] INFO  [CursorTranscriptReader] Read Cursor session 5b54c917: 38 new bubbles, 4 entries extracted (index 0→38)
[2026-06-22T18:17:48.321Z] INFO  [CursorTranscriptReader] Read Cursor session b57ab5ab: 100 new bubbles, 4 entries extracted (index 0→100)
[2026-06-22T18:17:48.324Z] INFO  [CursorTranscriptReader] Read Cursor session c0b27a08: 112 new bubbles, 4 entries extracted (index 0→112)
[2026-06-22T18:17:48.325Z] INFO  [CursorTranscriptReader] Read Cursor session ee3543c0: 90 new bubbles, 6 entries extracted (index 0→90)
[2026-06-22T18:17:48.327Z] INFO  [CursorTranscriptReader] Read Cursor session b8deae0b: 97 new bubbles, 9 entries extracted (index 0→97)
[2026-06-22T18:17:48.329Z] INFO  [CursorTranscriptReader] Read Cursor session 7dea7990: 46 new bubbles, 4 entries extracted (index 0→46)
